Wavelength,Sample_1_Absorbance,Sample_2_Absorbance
373,1.4,1.66
374,1.4,1.66
375,1.4,1.65
376,1.41,1.65
377,1.4,1.65
378,1.41,1.65
379,1.41,1.65
380,1.41,1.65
381,1.41,1.65
382,1.41,1.65
383,1.41,1.65
384,1.41,1.65
385,1.41,1.64
386,1.41,1.64
387,1.41,1.64
388,1.41,1.65
389,1.41,1.64
390,1.41,1.64
391,1.41,1.64
392,1.41,1.64
393,1.41,1.64
394,1.41,1.64
395,1.41,1.64
396,1.4,1.64
397,1.4,1.64
398,1.39,1.64
399,1.39,1.64
400,1.38,1.63
401,1.37,1.64
402,1.37,1.63
403,1.36,1.63
404,1.35,1.63
405,1.34,1.63
406,1.33,1.63
407,1.31,1.63
408,1.3,1.63
409,1.28,1.63
410,1.27,1.63
411,1.25,1.63
412,1.24,1.62
413,1.22,1.62
414,1.2,1.62
415,1.19,1.61
416,1.17,1.61
417,1.16,1.61
418,1.14,1.6
419,1.13,1.61
420,1.13,1.62
421,1.13,1.62
422,1.12,1.63
423,1.12,1.63
424,1.1,1.62
425,1.08,1.61
426,1.07,1.6
427,1.05,1.58
428,1.04,1.57
429,1.03,1.56
430,1.02,1.54
431,1.01,1.53
432,0.995,1.51
433,0.985,1.5
434,0.976,1.49
435,0.967,1.47
436,0.958,1.46
437,0.95,1.44
438,0.942,1.43
439,0.934,1.41
440,0.927,1.4
441,0.919,1.39
442,0.912,1.38
443,0.904,1.36
444,0.896,1.35
445,0.888,1.34
446,0.88,1.33
447,0.871,1.32
448,0.862,1.31
449,0.853,1.3
450,0.843,1.29
451,0.834,1.28
452,0.824,1.28
453,0.814,1.27
454,0.804,1.26
455,0.794,1.26
456,0.784,1.25
457,0.773,1.24
458,0.763,1.24
459,0.753,1.23
460,0.743,1.23
461,0.733,1.23
462,0.724,1.22
463,0.715,1.22
464,0.705,1.21
465,0.697,1.21
466,0.688,1.21
467,0.68,1.2
468,0.673,1.2
469,0.666,1.19
470,0.66,1.19
471,0.655,1.18
472,0.651,1.18
473,0.647,1.17
474,0.645,1.17
475,0.644,1.16
476,0.645,1.16
477,0.647,1.15
478,0.65,1.14
479,0.656,1.14
480,0.663,1.13
481,0.673,1.12
482,0.686,1.11
483,0.701,1.1
484,0.72,1.09
485,0.742,1.09
486,0.767,1.08
487,0.797,1.07
488,0.831,1.06
489,0.868,1.05
490,0.911,1.04
491,0.958,1.03
492,1.01,1.02
493,1.06,1.01
494,1.12,0.999
495,1.18,0.989
496,1.25,0.979
497,1.31,0.969
498,1.38,0.959
499,1.44,0.95
500,1.49,0.94
501,1.53,0.93
502,1.57,0.921
503,1.59,0.912
504,1.61,0.904
505,1.62,0.895
506,1.63,0.886
507,1.64,0.877
508,1.64,0.869
509,1.64,0.86
510,1.64,0.852
511,1.64,0.844
512,1.64,0.836
513,1.63,0.828
514,1.61,0.821
515,1.57,0.814
516,1.49,0.807
517,1.39,0.8
518,1.26,0.793
519,1.12,0.787
520,0.982,0.782
521,0.846,0.777
522,0.72,0.772
523,0.608,0.768
524,0.509,0.765
525,0.422,0.761
526,0.349,0.759
527,0.288,0.757
528,0.238,0.755
529,0.196,0.754
530,0.165,0.754
531,0.141,0.755
532,0.125,0.756
533,0.113,0.759
534,0.108,0.761
535,0.105,0.765
536,0.104,0.769
537,0.104,0.774
538,0.105,0.78
539,0.107,0.787
540,0.108,0.796
541,0.11,0.805
542,0.111,0.816
543,0.112,0.828
544,0.113,0.841
545,0.113,0.856
546,0.113,0.873
547,0.113,0.891
548,0.112,0.91
549,0.111,0.931
550,0.11,0.952
551,0.109,0.974
552,0.107,0.998
553,0.106,1.02
554,0.104,1.05
555,0.102,1.07
556,0.1,1.1
557,0.0983,1.12
558,0.0961,1.15
559,0.094,1.17
560,0.0919,1.19
561,0.0896,1.21
562,0.0873,1.22
563,0.0851,1.23
564,0.0828,1.23
565,0.0804,1.22
566,0.078,1.21
567,0.0758,1.19
568,0.0736,1.16
569,0.0713,1.12
570,0.0689,1.07
571,0.0667,1.02
572,0.0644,0.962
573,0.062,0.901
574,0.0596,0.839
575,0.0573,0.776
576,0.0549,0.715
577,0.0528,0.657
578,0.0507,0.603
579,0.0487,0.553
580,0.0466,0.507
581,0.0447,0.466
582,0.0427,0.428
583,0.0409,0.395
584,0.039,0.366
585,0.0375,0.34
586,0.0358,0.316
587,0.0342,0.296
588,0.0326,0.278
589,0.0312,0.262
590,0.0296,0.248
591,0.0282,0.235
592,0.0269,0.224
593,0.0256,0.214
594,0.0245,0.204
595,0.0234,0.196
596,0.0222,0.188
597,0.0212,0.181
598,0.0202,0.174
599,0.0192,0.168
600,0.0181,0.162
601,0.0174,0.157
602,0.0166,0.151
603,0.0158,0.146
604,0.0151,0.141
605,0.0145,0.136
606,0.0139,0.131
607,0.0134,0.126
608,0.0129,0.121
609,0.0125,0.116
610,0.0119,0.111
611,0.0115,0.106
612,0.0111,0.101
613,0.0106,0.0955
614,0.0104,0.0908
615,0.0101,0.0858
616,0.00978,0.0811
617,0.00959,0.0768
618,0.00947,0.0728
